flightNumber,airline,location,terminal,gate,status,scheduled
1034,American Airlines,"Phoenix, AZ (PHX)", 8 , 1,In Air,1:30 PM
2382,American Airlines,"Miami, FL (MIA)", 8 , 43,In Air,1:45 PM
4192,American Airlines,"Raleigh/Durham, NC (RDU)", 8 , 31C,In Air,2:44 PM
1223,American Airlines,"Dallas-Fort Worth, TX (DFW)", 8 , 39,In Air,2:55 PM
3437,American Airlines,"Indianapolis, IN (IND)", 8 , 31A,In Air,2:55 PM
2183,American Airlines,"Washington, DC (DCA)", 8 , 5,In Air,2:55 PM
4196,American Airlines,Montreal (YUL), 8 , 32G,In Air,2:55 PM
8924,American Airlines,Hong Kong (HKG), 7,,In Air,2:55 PM
279,American Airlines,"Orlando, FL (MCO)", 8 , 38,Departed,2:59 PM
9070,American Airlines,Abu Dhabi (AUH), 4 , A7,Scheduled,3:15 PM
3580,American Airlines,"Nashville, TN (BNA)", 8 , 32H,Departed,3:20 PM
117,American Airlines,"Los Angeles, CA (LAX)", 8 , 36,Scheduled,3:30 PM
199,American Airlines,"Boston, MA (BOS)", 8 , 44,Scheduled,3:30 PM
3307,American Airlines,"Columbus, OH (CMH)", 8 , 31D,Scheduled,3:30 PM
3206,American Airlines,"Cincinnati, OH (CVG)", 8 , 32G,Cancelled,3:30 PM
3711,American Airlines,"Cleveland, OH (CLE)", 8 , 32I,Scheduled,3:30 PM
4195,American Airlines,Toronto (YYZ), 8 , 32F,Scheduled,3:30 PM
65,American Airlines,"Miami, FL (MIA)", 8 , 41,Scheduled,3:40 PM
3443,American Airlines,"Pittsburgh, PA (PIT)", 8 , 31B,Scheduled,3:40 PM
3464,American Airlines,"Baltimore, MD (BWI)", 8 , 32G,Scheduled,3:55 PM
1434,American Airlines,Cancun (CUN), 8 , 40,Scheduled,4:10 PM
67,American Airlines,"San Francisco, CA (SFO)", 8 , 39,Scheduled,4:30 PM
3198,American Airlines,"Norfolk, VA (ORF)", 8 , 31C,Scheduled,4:30 PM
1488,American Airlines,"Phoenix, AZ (PHX)", 8 , 34,Scheduled,4:50 PM
133,American Airlines,"Los Angeles, CA (LAX)", 8 , 42,Scheduled,5:00 PM
101,American Airlines,"Charlotte, NC (CLT)", 8 , 43,Scheduled,5:00 PM
990,American Airlines,"Tucson, AZ (TUS)", 8 , 6,Scheduled,5:00 PM
4639,American Airlines,"Washington, DC (DCA)", 8 , 31A,Scheduled,5:00 PM
235,American Airlines,"Miami, FL (MIA)", 8 , 46,Scheduled,5:10 PM
4740,American Airlines,"Raleigh/Durham, NC (RDU)", 8 , 31B,Scheduled,5:15 PM
211,American Airlines,"Las Vegas, NV (LAS)", 8 , 36,Scheduled,5:20 PM
44,American Airlines,Paris (CDG), 8 , 14,Scheduled,5:25 PM
1416,American Airlines,St George (BDA), 8 , 1,Scheduled,5:25 PM
95,American Airlines,"San Diego, CA (SAN)", 8 , 33,Scheduled,5:30 PM
2675,American Airlines,"Austin, TX (AUS)", 8 , 40,Scheduled,5:30 PM
66,American Airlines,Barcelona (BCN), 8 , 8,Scheduled,5:45 PM
8117,American Airlines,Calgary (YYC), 4 , B23,Scheduled,5:55 PM
83,American Airlines,"Los Angeles, CA (LAX)", 8 , 2,Scheduled,6:00 PM
7364,American Airlines,"Los Angeles, CA (LAX)", 7,,Scheduled,6:00 PM
198,American Airlines,Milano (MXP), 8 , 37,Scheduled,6:05 PM
64,American Airlines,Zurich (ZRH), 8 , 12,Scheduled,6:15 PM
7809,American Airlines,Sao Paulo (GRU), 8,,Scheduled,6:15 PM
45,American Airlines,"Seattle, WA (SEA)", 8 , 43,Scheduled,6:30 PM
177,American Airlines,"San Francisco, CA (SFO)", 8 , 35,Scheduled,6:30 PM
8644,American Airlines,Madrid (MAD), 7,,Scheduled,6:30 PM
8986,American Airlines,Helsinki (HEL), 8,,Scheduled,6:45 PM
94,American Airlines,Madrid (MAD), 8 , 45,Scheduled,6:55 PM
2540,American Airlines,"Charlotte, NC (CLT)", 8 , 44,Scheduled,6:55 PM
8068,American Airlines,Dusseldorf (DUS), 8,,Scheduled,6:55 PM
21,American Airlines,"Los Angeles, CA (LAX)", 8 , 36,Scheduled,7:00 PM
1893,American Airlines,"Charlotte, NC (CLT)", 8 , 1,Scheduled,7:00 PM
